2023-11-04	 00:27:13	 f3210cc5-8cd3-4e44-9f0c-ec6e2585a86a	 GET	 undefined	 /	 /
2023-11-04	 01:07:45	 80a27ace-5f4a-4a9b-aec6-a07fa47b77bf	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 01:07:45	 31df4fea-0159-413c-8295-22ece071f113	 GET	 undefined	 /	 /
2023-11-04	 01:07:45	 ea4674c6-a22b-4a62-a1ec-3b5714e40072	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 01:07:45	 5fb50afe-0ea0-4663-8e1e-046e8963a198	 GET	 undefined	 /	 /
2023-11-04	 01:07:45	 18440ab9-dee3-4f59-94b0-d721030c08c4	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 01:07:58	 b9bcbc7c-2b37-4c97-88cc-d180e13f5cf1	 GET	 undefined	 /	 /
2023-11-04	 01:07:58	 5c816145-71ec-4587-9be5-51e168847541	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 01:07:59	 49dddaf4-6c5a-4050-9b3b-71eee8407327	 GET	 undefined	 /	 /
2023-11-04	 01:07:59	 40ea78e4-f42b-4d29-91bf-57d80a27aabd	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 01:07:59	 5728e274-e703-4738-88d9-8728f8612de6	 GET	 undefined	 /	 /
2023-11-04	 01:07:59	 b2d7166d-8c7d-4585-911a-5f0294e942e2	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 01:07:59	 cc4121a4-26da-4a58-83ca-0635c99a325d	 GET	 undefined	 /	 /
2023-11-04	 01:07:59	 6150a6a0-9321-4c0d-9836-08721b02b54e	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 01:08:00	 f7d6a18a-f1e7-468b-9488-6ae62011550c	 GET	 undefined	 /	 /
2023-11-04	 01:08:00	 3a61c303-b4a6-4cff-9bcd-83a377d321a0	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 01:08:00	 5aa8f1b3-af38-4496-8a11-fce9e95d175d	 GET	 undefined	 /	 /
2023-11-04	 01:08:00	 22bfc522-ac79-49cd-90c7-c7c5be915bc6	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 01:08:00	 746a7996-d3d6-49c3-9bd4-1239d3763277	 GET	 undefined	 /	 /
2023-11-04	 01:08:00	 a5f7feb4-9749-4652-858f-d5d5581344a3	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 01:08:55	 73c9c777-06ff-4fa8-9cf4-194619c45eaa	 GET	 undefined	 /	 /
2023-11-04	 01:08:55	 2102930e-44a3-44b7-8f19-440fbf38de13	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 01:08:56	 723b4b66-78d8-403a-a98e-1410661def51	 GET	 undefined	 /	 /
2023-11-04	 01:08:56	 434cf6db-a02d-439e-bae5-a4db63d7d5c8	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 01:08:56	 35123ee8-3f60-4fd6-b4e1-60950bf217b8	 GET	 undefined	 /	 /
2023-11-04	 01:08:56	 d7235f06-1bb9-4b04-b189-ea22551561ca	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 01:08:56	 73fea55f-497a-4862-ba08-3383633d8f84	 GET	 undefined	 /	 /
2023-11-04	 01:08:56	 6727fd52-440b-43d1-9752-1d2118f2cca6	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 01:09:07	 4855626d-add6-4bc8-bcbd-4e8fb38d622d	 GET	 undefined	 /	 /
2023-11-04	 01:09:08	 c355ea88-c91c-4110-bf39-82d2bbffce9a	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 01:09:08	 19be6f5c-69aa-4c12-a01d-5acfae74fcac	 GET	 undefined	 /	 /
2023-11-04	 01:09:08	 6f5a2437-a442-428d-ab22-071a49aa9863	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 01:09:08	 94b0fad5-646f-4396-a7dc-6f781a9a83ca	 GET	 undefined	 /	 /
2023-11-04	 01:09:08	 e86b4268-ffc5-488a-ae21-9c28bec9c020	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 01:09:44	 0b83698c-2a61-4b54-9326-9f64aa5ea387	 GET	 undefined	 /	 /
2023-11-04	 01:09:44	 6d3c9d92-ba26-4f31-b275-f0533c73231d	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 01:09:45	 75e3ceb9-dafd-417e-bc22-1b0c90e59f57	 GET	 undefined	 /	 /
2023-11-04	 01:09:45	 131e2495-899d-4059-b428-400779cce24d	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 01:09:45	 3f80813f-24eb-4756-a037-5ec5cd8fea84	 GET	 undefined	 /	 /
2023-11-04	 01:09:45	 7860c8b5-7100-441a-85dc-a1597d924baa	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 01:10:24	 ec0e0f1f-c6cc-4309-bd83-1a93624ef5a7	 GET	 undefined	 /	 /
2023-11-04	 01:10:25	 a97034d1-76a3-442e-9630-50c687d3bf0b	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 01:10:25	 f05b126e-3f98-4f96-a010-2a3c1339b7ac	 GET	 undefined	 /	 /
2023-11-04	 01:10:25	 e0b2ce34-bec9-423c-b040-7fdf87f36bfa	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 01:10:25	 667150c1-ce90-4560-aa2c-f1ca6c19d54b	 GET	 undefined	 /	 /
2023-11-04	 01:10:25	 438ab7d4-33bb-454b-9ab3-7841ba5911a5	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 01:10:25	 36c9449d-2e8d-45af-982c-46ba0b74a5d1	 GET	 undefined	 /	 /
2023-11-04	 01:10:25	 d9c4f3b5-98ed-455e-b897-37cd1f5d98ac	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:27:05	 c9a4a57b-920f-4e2b-9df9-c7a72fcbf972	 GET	 undefined	 /	 /
2023-11-04	 17:27:05	 3660ee45-296c-4c3f-aa24-c8a18c8a5e34	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:27:05	 c4f4b8d6-107d-44fe-9b64-c9f39576c3a0	 GET	 undefined	 /favicon.ico	 /favicon.ico
2023-11-04	 17:27:06	 84e0e565-79ac-42c7-9d04-76ef79e4b5ad	 GET	 undefined	 /	 /
2023-11-04	 17:27:06	 29e85e9d-1f47-4356-bd64-2412ef94588d	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:28:02	 c84bd71c-5724-4c96-bcfb-0e9f8fc4890c	 GET	 undefined	 /	 /
2023-11-04	 17:28:02	 3159bce9-a333-42de-86b7-86071ebe3887	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:28:23	 5fe54f83-eb9c-4fd1-b2f7-336da0d4f9fa	 GET	 undefined	 /	 /
2023-11-04	 17:28:23	 433a061c-ff4a-40a1-a818-103509fb158c	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:28:24	 a545795e-fb69-461b-a6dc-4b3ab5154606	 GET	 undefined	 /	 /
2023-11-04	 17:28:24	 2c02507b-44c1-4dda-b12d-79917c50233c	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:29:04	 333139c1-1411-48d6-909c-250b1fd4b8ff	 GET	 undefined	 /	 /
2023-11-04	 17:29:04	 94dac79b-d968-41ca-b1a1-493c116ce2a5	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:29:05	 cdca39ff-92f1-4e3a-8595-9f629c67cc3e	 GET	 undefined	 /	 /
2023-11-04	 17:29:05	 adeeda5c-878d-4e5b-8270-aaca32f04634	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:29:05	 83a1864d-37d2-4c43-9b7b-308d100ecd5e	 GET	 undefined	 /	 /
2023-11-04	 17:29:05	 efa59e49-d34a-466a-ac04-2cc8e54b6a51	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:29:23	 b49244b7-60b6-4b0d-9878-f24d96b9b287	 GET	 undefined	 /	 /
2023-11-04	 17:29:23	 65e4d5f3-9f24-427b-b129-227fe6ae8be1	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:29:23	 08d8d32d-b549-4896-936c-c327c107543c	 GET	 undefined	 /	 /
2023-11-04	 17:29:23	 448c3c3c-2a1a-4076-b969-8148812dd609	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:29:23	 51619607-71d6-4f92-b644-87713b95ee2f	 GET	 undefined	 /	 /
2023-11-04	 17:29:23	 3221c599-63fc-4222-a345-f12472ad388c	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:32:42	 c34a276f-001c-46c1-a51e-37757bd1459b	 GET	 undefined	 /	 /
2023-11-04	 17:32:42	 0c60c373-d2d8-435e-b21f-a322018832aa	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:32:42	 aaeeeb9b-1565-477a-a916-c09c5363b52d	 GET	 undefined	 /	 /
2023-11-04	 17:32:42	 5f6b5d2f-eb7a-4350-8753-2fec23b15bc6	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:32:43	 acf9155c-18de-4686-8a5c-495b0ad91e48	 GET	 undefined	 /	 /
2023-11-04	 17:32:43	 3c7800e9-5ec7-4c25-88fe-7267f5e9bc0d	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:34:09	 dcadf562-e9e8-4361-9a49-d6e0325ae14b	 GET	 undefined	 /	 /
2023-11-04	 17:34:09	 4289f6ab-65d7-4d34-b92a-d1df528c8218	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:34:10	 1da1392b-1c8f-428f-9615-c1cc4211fa71	 GET	 undefined	 /	 /
2023-11-04	 17:34:10	 bef8b476-6ddc-4506-a045-3bd93017a88d	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:34:10	 07b292f7-e090-4586-bfdc-06d27d982d8e	 GET	 undefined	 /	 /
2023-11-04	 17:34:10	 561ae47f-2bde-48c3-ab6e-d9669310d4ff	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:34:10	 bbc34f93-0216-4904-9679-676d2ad1a0cd	 GET	 undefined	 /	 /
2023-11-04	 17:34:10	 ea46dbf3-9db6-4184-8b5e-b3689964baad	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:35:18	 12b50758-f617-4360-abf3-5439172d0d14	 GET	 undefined	 /	 /
2023-11-04	 17:35:26	 d52ef24f-10e1-4921-ad6b-27a5fc79fe5e	 GET	 undefined	 /	 /
2023-11-04	 17:35:26	 e104edf9-8126-4bbf-bb0c-09ab09673a80	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:35:28	 49c86b24-b93d-4b06-9b91-f55ab7160931	 GET	 undefined	 /	 /
2023-11-04	 17:35:28	 8e7a43d4-d642-4b54-b007-7f11428a2df1	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:35:37	 49434647-0373-4391-b65b-35b0e69bdf39	 GET	 undefined	 /	 /
2023-11-04	 17:35:37	 759bf602-42ef-42b1-bdb7-62612fdfca52	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:35:45	 902fbeb6-971a-4051-ba0d-7906997dbce0	 GET	 undefined	 /	 /
2023-11-04	 17:35:45	 9482eb89-5c3e-4622-b082-78d181dee64d	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:36:54	 7e702faa-b745-4ead-8b6f-c089549d2da5	 OPTIONS	 undefined	 /	 /
2023-11-04	 17:36:54	 d7ac632c-f68c-424c-8cb9-df5082ef8857	 GET	 undefined	 /	 /
2023-11-04	 17:37:18	 dbef4f1f-0a5f-4a5a-ac7a-2c5f0133312e	 GET	 undefined	 /	 /
2023-11-04	 17:37:18	 4bbb1157-dd57-4196-adf6-6cdc3ffba909	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:37:43	 b2af4090-6744-47e5-ac76-4c5037f72803	 GET	 undefined	 /	 /
2023-11-04	 17:37:43	 57b1873f-092c-4ad7-9aa9-96fe2a0ab557	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:37:51	 f0a98623-2e92-4f81-8399-ba25dc528eb1	 GET	 undefined	 /	 /
2023-11-04	 17:37:52	 24cf981f-e1fe-4d19-bb4d-30c6430e6d0f	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:38:20	 b7c2df5e-a268-46f1-8f36-3891f425300c	 GET	 undefined	 /	 /
2023-11-04	 17:38:20	 7f77cea1-0207-4c89-bd35-ffa525649273	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:38:21	 7bc15c99-67fe-4b13-b4e9-486dcf841113	 GET	 undefined	 /	 /
2023-11-04	 17:38:21	 caec5e9b-c730-4e5f-93e3-43128b174151	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:38:21	 6a411ba7-1b4c-4eea-a28a-39a48224b729	 GET	 undefined	 /	 /
2023-11-04	 17:38:21	 92530a1f-4966-4243-931d-af79af79be04	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:38:21	 dc523204-aa9f-45a1-aabd-fe8c1a86e111	 GET	 undefined	 /	 /
2023-11-04	 17:38:21	 b10f1381-50ca-4627-8cef-8836165ff7aa	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:38:21	 da5d1254-b246-4b34-ab33-95a74ba78886	 GET	 undefined	 /	 /
2023-11-04	 17:38:21	 ef5fe6dd-0d51-43ba-9b61-7a12cc1f184f	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:38:21	 7be4f163-fd7c-4f00-a1cc-8747b9fe295b	 GET	 undefined	 /	 /
2023-11-04	 17:38:21	 517ea080-c5ec-4b53-8c62-8e3d5179fc2a	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:38:22	 af10969e-2a58-4389-a7c8-f71a689f6263	 GET	 undefined	 /	 /
2023-11-04	 17:38:22	 591adddc-488e-49f2-ae0e-2cbe5bc13a94	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:38:22	 28544082-3fab-43ef-a47f-ae2d7840aa54	 GET	 undefined	 /	 /
2023-11-04	 17:38:22	 f4e35d50-ea2c-48a2-b55c-7829338edacc	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:38:22	 4aa56ccb-eed3-4ef0-a4ea-b8c0f8082dd7	 GET	 undefined	 /	 /
2023-11-04	 17:38:22	 1759bf1d-c478-4d27-91e2-43f74b6f50f8	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:47:30	 d671e4bb-d575-4ad8-a1ea-fc956357657f	 GET	 undefined	 /	 /
2023-11-04	 17:47:30	 39e3c66e-ebf4-4c4a-8cae-592197f3fffa	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:47:44	 e92fe283-e900-4dc3-9110-f8bdc6b40e16	 GET	 undefined	 /deepak	 /deepak
2023-11-04	 17:48:18	 c0ba0d11-a133-4e91-a429-2b31e2c866db	 GET	 undefined	 /deepak	 /deepak
2023-11-04	 17:48:19	 0cd0c162-9c39-4611-9108-53cc1c48664c	 GET	 undefined	 /deepak	 /deepak
2023-11-04	 17:48:41	 2adbe189-a7de-469b-9532-c5fe21c527c5	 GET	 undefined	 /deepak	 /deepak
2023-11-04	 17:48:41	 e384bd5e-1b7a-4eee-8c10-7b11efa2ba9f	 GET	 undefined	 /css/style.css	 /css/style.css
2023-11-04	 17:49:29	 e1272d03-b324-4f88-899d-91722b9b482d	 GET	 undefined	 /deepak	 /deepak
2023-11-04	 17:49:29	 6aefe90f-31ae-4ebb-a80d-f0409b4066e4	 GET	 undefined	 /css/style.css	 /css/style.css
2023-11-04	 17:49:30	 83d6eed5-1e97-4ff9-a7aa-143f4127fcac	 GET	 undefined	 /deepak	 /deepak
2023-11-04	 17:49:30	 7d74460e-f017-49bb-8fa4-c29cc221e5a8	 GET	 undefined	 /css/style.css	 /css/style.css
2023-11-04	 17:49:50	 b0611cd2-5765-4c21-99d0-3230bd9de687	 GET	 undefined	 /deepak	 /deepak
2023-11-04	 17:49:50	 40234971-69e2-4109-bfc0-1c8d91a0e172	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:53:02	 cb512a8a-b6c6-4eb5-bdd9-fb18b48c824e	 GET	 undefined	 /deepak	 /deepak
2023-11-04	 17:53:03	 cf8aa4aa-e511-4e06-99f1-65f643157217	 GET	 undefined	 /deepak	 /deepak
2023-11-04	 17:53:03	 610c5afb-be82-43e1-963d-4e2aedf4d37b	 GET	 undefined	 /deepak	 /deepak
2023-11-04	 17:53:04	 899b9ad2-c53b-4a14-bbf1-246dfc146c8f	 GET	 undefined	 /deepak	 /deepak
2023-11-04	 17:53:12	 06655a7a-a583-4a17-915d-38551770dc6b	 GET	 undefined	 /	 /
2023-11-04	 17:53:12	 fd4731a3-07ce-4515-91e3-6d1073d32b0e	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 17:53:26	 d6506302-3b9c-472a-ac05-8111c3bb8043	 GET	 undefined	 /asf	 /asf
2023-11-04	 17:53:54	 adc474b0-363a-4389-8460-288f696ebfd8	 GET	 undefined	 /asf	 /asf
2023-11-04	 17:53:54	 f11a7045-78b7-4c88-b4f6-439d2c71cf03	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 18:11:53	 efb66f6d-8143-4eea-8153-3999a17f2eff	 GET	 undefined	 /asf	 /asf
2023-11-04	 18:11:53	 ae4d73b9-962b-4866-92a9-ea93befa4def	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 19:18:16	 154b92c2-ec8b-420c-95be-609d4fbc4fdb	 GET	 undefined	 /asf	 /asf
2023-11-04	 19:18:16	 8bba4bc1-066d-4341-9ba6-14416cef57ac	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 19:18:26	 91aae6c3-be07-450f-bfe6-3367d4ef27a9	 GET	 undefined	 /subdir/test	 /subdir/test
2023-11-04	 19:18:26	 76dc4795-e39d-49bd-a604-1b90ebaf5d2f	 GET	 undefined	 /subdir/styles.css	 /subdir/styles.css
2023-11-04	 19:18:46	 5c51b003-b53b-49cf-8ff7-318ed7980627	 GET	 undefined	 /subdir	 /subdir
2023-11-04	 19:18:46	 42b871d0-0ed0-4f5d-8bf7-84e09d9440bb	 GET	 undefined	 /subdir/	 /subdir/
2023-11-04	 19:19:08	 2fcee74e-81e1-46c6-80a9-996e12825c50	 GET	 undefined	 /subdir/test.html	 /subdir/test.html
2023-11-04	 19:19:28	 1a7bd1f9-8501-44d8-bb1a-1920710f24ab	 GET	 undefined	 /subdir/test	 /subdir/test
2023-11-04	 19:19:28	 e738a0b1-5068-47b3-bc90-99dbce45509b	 GET	 undefined	 /subdir/styles.css	 /subdir/styles.css
2023-11-04	 19:19:32	 784812a0-c5fe-48cd-8ec6-cce0161cc702	 GET	 undefined	 /subdir/test.html	 /subdir/test.html
2023-11-04	 19:21:04	 79fe7789-caf9-4d63-a012-c0791fb4eb69	 GET	 undefined	 /subdir/test	 /subdir/test
2023-11-04	 19:21:04	 215a79a1-5c80-4c40-9bb7-e2190566bee6	 GET	 undefined	 /subdir/styles.css	 /subdir/styles.css
2023-11-04	 19:25:29	 540ee2f0-e3e1-4cc3-93f0-79e43b3aa8e1	 GET	 undefined	 /subdir/test	 /subdir/test
2023-11-04	 19:25:29	 78f855f9-88ad-4ca0-8cc2-27512fe83c48	 GET	 undefined	 /subdir/styles.css	 /subdir/styles.css
2023-11-04	 19:25:33	 dbfdfe32-fb5e-407d-81b0-c6384437abd4	 GET	 undefined	 /	 /
2023-11-04	 19:25:33	 1eababa4-caaa-4c1c-aacd-4374021684a4	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 19:25:37	 6344d9c4-d988-4006-848d-a20d1bb2ddba	 GET	 undefined	 /new-page.html	 /new-page.html
2023-11-04	 19:25:37	 b956b2ec-7a5b-4640-bec7-d9a9b2a3a299	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 19:25:37	 667928d9-f409-499f-8a8a-f9ec6bcd77e1	 GET	 undefined	 /1.jpg	 /1.jpg
2023-11-04	 19:25:41	 210952ff-996e-490d-bc9d-20f2895a36b3	 GET	 undefined	 /new-page.html	 /new-page.html
2023-11-04	 19:25:41	 d9a8decc-e0ef-4231-9ff0-6c68dcda727e	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 19:25:41	 b1ccf992-c1e0-44c4-9670-13134bf027ea	 GET	 undefined	 /1.jpg	 /1.jpg
2023-11-04	 19:26:26	 a222ba94-24c0-447d-8c94-c484c4bd0664	 GET	 undefined	 /new-page.html	 /new-page.html
2023-11-04	 19:26:26	 dfb787d2-843f-4d8a-9b37-f606e4659686	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 19:26:26	 506891cb-7d94-4999-b445-5613f701cb74	 GET	 undefined	 /1.jpg	 /1.jpg
2023-11-04	 19:26:30	 9a041fd6-0bf5-4f0d-b572-c34131d14b44	 GET	 undefined	 /	 /
2023-11-04	 19:26:30	 dc44bb06-e103-49ae-a9e3-b0a35c4c40c3	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 19:26:33	 ee2351ab-a9f2-42b8-bfb5-8d9b905a1ff9	 GET	 undefined	 /new-page.html	 /new-page.html
2023-11-04	 19:26:33	 82594e59-5632-44fe-a26c-7f981d1fee4b	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 19:26:33	 1deaf5c4-807b-4e15-9491-0d2bffa673f4	 GET	 undefined	 /1.jpg	 /1.jpg
2023-11-04	 21:35:29	 20ef6d2f-1b9e-45db-a80c-6baedb218217	 GET	 undefined	 /new-page.html	 /new-page.html
2023-11-04	 21:35:29	 1f8b4cac-d844-4654-984e-06cba7c7fc85	 GET	 undefined	 /styles.css	 /styles.css
2023-11-04	 21:35:29	 8ac392c2-33b7-46ff-9b0d-81d5c7b076f6	 GET	 undefined	 /1.jpg	 /1.jpg
2023-11-05	 11:49:27	 de6faf75-2e88-45e0-86ed-bc9d965e390d	 GET	 undefined	 /employees	 /employees
2023-11-05	 11:51:48	 6cb21c98-cfcd-4956-87c1-666a383a7464	 POST	 undefined	 /employees	 /employees
2023-11-05	 11:53:04	 d03f1ecc-7bf2-48dd-b464-1b110873d751	 GET	 undefined	 /employees	 /employees
2023-11-05	 11:54:24	 e363c003-77a7-4c50-a00e-bc4157993811	 GET	 undefined	 /employees/3	 /employees/3
